epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.191,1.25226,1.55925,1.12671,0.91888,0.87727,0.91579,0.58953,1.26638,0.92117,1.16398,0.000665158,0.000665158,0.000665158
2,214.706,1.26547,0.89269,1.15015,0.93067,0.86424,0.91861,0.59616,1.23524,0.80397,1.15477,0.00130545,0.00130545,0.00130545
3,314.127,1.26236,0.79111,1.15172,0.92166,0.88565,0.91157,0.56585,1.24365,0.83215,1.17203,0.00191935,0.00191935,0.00191935
4,412.536,1.24621,0.73829,1.13994,0.95587,0.87822,0.92877,0.60795,1.22265,0.68071,1.15857,0.0018812,0.0018812,0.0018812
5,510.597,1.2131,0.69012,1.12214,0.95643,0.88793,0.93311,0.606,1.23669,0.64357,1.14828,0.0018416,0.0018416,0.0018416
6,609.026,1.19218,0.66212,1.11212,0.96105,0.88702,0.93781,0.62879,1.19662,0.62524,1.12405,0.001802,0.001802,0.001802
7,707.14,1.18219,0.64427,1.10708,0.96189,0.90828,0.94728,0.64011,1.16089,0.60962,1.09906,0.0017624,0.0017624,0.0017624
8,805.232,1.16952,0.62842,1.09896,0.94971,0.91982,0.93111,0.62452,1.15103,0.58874,1.10566,0.0017228,0.0017228,0.0017228
9,903.276,1.1578,0.6297,1.0928,0.9772,0.91526,0.95622,0.65124,1.16034,0.54167,1.09892,0.0016832,0.0016832,0.0016832
10,1001.45,1.1544,0.60143,1.09195,0.97248,0.91774,0.9528,0.65487,1.15638,0.53683,1.10249,0.0016436,0.0016436,0.0016436
11,1099.75,1.14814,0.5919,1.08743,0.95899,0.91618,0.95036,0.65035,1.14095,0.54537,1.09693,0.001604,0.001604,0.001604
12,1198.26,1.13499,0.58967,1.08041,0.975,0.92382,0.95905,0.66261,1.1317,0.5107,1.09154,0.0015644,0.0015644,0.0015644
13,1296.39,1.13291,0.56966,1.08098,0.97346,0.91903,0.95934,0.66852,1.13443,0.51604,1.08007,0.0015248,0.0015248,0.0015248
14,1404.52,1.12484,0.56272,1.07856,0.95975,0.92483,0.95038,0.65458,1.13524,0.51322,1.08512,0.0014852,0.0014852,0.0014852
15,1537.78,1.12957,0.56131,1.08414,0.98054,0.92437,0.96176,0.66607,1.12883,0.49545,1.08133,0.0014456,0.0014456,0.0014456
16,1670.59,1.11117,0.54091,1.069,0.96678,0.92437,0.959,0.66506,1.1235,0.49577,1.07095,0.001406,0.001406,0.001406
17,1805.41,1.09994,0.53231,1.06426,0.97414,0.93075,0.9606,0.66033,1.13196,0.49247,1.07726,0.0013664,0.0013664,0.0013664
18,1940.33,1.10285,0.54189,1.06696,0.97925,0.92118,0.96519,0.6837,1.11516,0.48652,1.0723,0.0013268,0.0013268,0.0013268
19,2075.53,1.10296,0.53261,1.06177,0.97992,0.9338,0.96642,0.67699,1.10782,0.47758,1.06273,0.0012872,0.0012872,0.0012872
20,2211.02,1.08602,0.51917,1.05528,0.97819,0.9303,0.96438,0.67904,1.1027,0.4715,1.07336,0.0012476,0.0012476,0.0012476
21,2345.98,1.08398,0.51727,1.05584,0.98461,0.93244,0.96796,0.68484,1.09862,0.4643,1.06313,0.001208,0.001208,0.001208
22,19906.3,1.09531,0.5108,1.05621,0.97902,0.93535,0.96889,0.68601,1.09461,0.46405,1.05908,0.0011684,0.0011684,0.0011684
23,20044.4,1.07871,0.50963,1.04926,0.98041,0.93622,0.9636,0.68146,1.08983,0.45027,1.05232,0.0011288,0.0011288,0.0011288
24,20180.2,1.0713,0.50611,1.05113,0.97446,0.93847,0.96872,0.68584,1.09401,0.45344,1.05758,0.0010892,0.0010892,0.0010892
25,20317.6,1.07332,0.50558,1.05459,0.98633,0.93075,0.96507,0.68348,1.09541,0.455,1.06207,0.0010496,0.0010496,0.0010496
26,20436.6,1.07634,0.50325,1.05464,0.97681,0.94025,0.96845,0.68657,1.08534,0.4511,1.05559,0.00101,0.00101,0.00101
27,20535,1.06584,0.49152,1.04397,0.97947,0.93804,0.96814,0.68312,1.08553,0.44277,1.05857,0.0009704,0.0009704,0.0009704
28,20633,1.06343,0.493,1.04476,0.9879,0.92966,0.9666,0.69363,1.07037,0.43691,1.05062,0.0009308,0.0009308,0.0009308
29,20738.2,1.05253,0.48066,1.04435,0.98369,0.93349,0.96619,0.69208,1.0742,0.42672,1.04826,0.0008912,0.0008912,0.0008912
30,20844.9,1.05484,0.48348,1.04316,0.98666,0.93075,0.96715,0.69493,1.0747,0.43034,1.04801,0.0008516,0.0008516,0.0008516
31,20949.3,1.03605,0.47098,1.03254,0.97771,0.93942,0.96866,0.69741,1.06751,0.42391,1.04479,0.000812,0.000812,0.000812
32,21053.3,1.03838,0.4675,1.03078,0.98417,0.93496,0.97219,0.69955,1.07207,0.42063,1.0465,0.0007724,0.0007724,0.0007724
33,21157.5,1.04013,0.4684,1.0353,0.97965,0.94169,0.9721,0.70209,1.06962,0.42878,1.04385,0.0007328,0.0007328,0.0007328
34,21262.3,1.031,0.45847,1.03506,0.97921,0.94414,0.97009,0.69857,1.06975,0.42415,1.048,0.0006932,0.0006932,0.0006932
35,21363.7,1.03576,0.46297,1.03467,0.98098,0.94442,0.96855,0.70102,1.05995,0.41243,1.03833,0.0006536,0.0006536,0.0006536
36,21467.1,1.03198,0.46587,1.03352,0.98126,0.94579,0.97089,0.7008,1.06029,0.41265,1.04163,0.000614,0.000614,0.000614
37,21567.7,1.03351,0.45589,1.03413,0.97787,0.94606,0.97108,0.70193,1.05985,0.41284,1.03709,0.0005744,0.0005744,0.0005744
38,21666,1.01954,0.45008,1.02403,0.98428,0.94305,0.96881,0.69784,1.06222,0.41006,1.03824,0.0005348,0.0005348,0.0005348
39,21764.1,1.02418,0.44939,1.02806,0.98237,0.93941,0.96972,0.70393,1.05557,0.40673,1.03618,0.0004952,0.0004952,0.0004952
40,21862.3,1.0041,0.44221,1.01857,0.98017,0.94557,0.96926,0.70427,1.05637,0.40612,1.03607,0.0004556,0.0004556,0.0004556
41,21992,1.00529,0.40275,1.03003,0.97871,0.94239,0.96919,0.70338,1.05775,0.41417,1.04048,0.000416,0.000416,0.000416
42,22090,1.00931,0.39942,1.03216,0.97689,0.9435,0.96962,0.70563,1.05009,0.40875,1.03778,0.0003764,0.0003764,0.0003764
43,22187.2,0.99284,0.39239,1.02703,0.98347,0.93986,0.97026,0.70634,1.05078,0.4077,1.03379,0.0003368,0.0003368,0.0003368
44,22284.5,0.98782,0.38697,1.02026,0.9815,0.94214,0.9684,0.70283,1.05646,0.40469,1.0355,0.0002972,0.0002972,0.0002972
45,22381.5,0.98295,0.38315,1.01459,0.98543,0.93576,0.969,0.70595,1.05607,0.40547,1.03487,0.0002576,0.0002576,0.0002576
46,22482.1,0.98026,0.37743,1.01542,0.98658,0.94077,0.97031,0.70953,1.04755,0.40133,1.03227,0.000218,0.000218,0.000218
47,22580.1,0.96974,0.37492,1.01321,0.98442,0.94123,0.97042,0.7114,1.04853,0.40154,1.03186,0.0001784,0.0001784,0.0001784
48,22678.8,0.96101,0.36962,1.00905,0.98519,0.93953,0.9712,0.71401,1.04422,0.39782,1.03088,0.0001388,0.0001388,0.0001388
49,22778,0.95795,0.36472,1.00904,0.98547,0.93759,0.96986,0.71069,1.0454,0.39608,1.02961,9.92e-05,9.92e-05,9.92e-05
50,22876.6,0.95353,0.36216,1.00581,0.98621,0.94032,0.97232,0.71238,1.04296,0.3936,1.02731,5.96e-05,5.96e-05,5.96e-05
